User,Rating,Title,Helpfulness,Comment,Date
Amazon Customer,4,Great lil' product with some room to improve,null,"Pros: Aesthetics are sexy; surprisingly great sound quality (can also be used as a bluetooth speak for music); picture quality is goodCons: Could be brighter, picture quality doesn't seem quite 720p despite claim. Remote controls are always clunky for digital navigation.Overall: I like this product a lot. I find certain light, despite being the same 'brightness', makes it more difficult to see. Particularly if the scenes are already dark, it can get washed out. The darker the room, the better. Also, despite having the projector on a flat surface, there seems to be a slight tilt to the picture. Not sure if that's a device issue or not but I noted it on a couple different surfaces. But I knew what the limits were and it's an impressive little device!",15/03/2021
alex,5,Good picture small package,null,"This projector has a good picture and brightness in darker rooms or at night. It's hard to see in the daylight but we got it to use for movie night in the backyard and it's great. It auto corrects the angle pitch and can invert the image however you need to project: forward, backward, and even upside down I think. It has a stand screwb mount in the bottom. The speaker is good, but not great. Loud enough to hear across the yard but we connect it to another Bluetooth speaker for better movie sound. You can use some apps directly on the  projector or stream from a mirracast device to it. I'm not sure if it works with Apple products though. It also has an app for your phone that let's you control it as a remote (it also came with a remote too)",26/04/2021
Z P,5,Great for entertaining kids only after unlocking Google Play Services,null,"Update (11/30/2019): after leaving a negative review here, the customer support team immediately followed up and helped with the activation of the Play Store. Now it is a five star device, but I wish we wouldn't have to jump through hoops to get here.* Original review below *Do you pay for Youtube Premium to avoid ads? Would you like to use Plex to stream local media?You are out of luck. Don’t fall for the reviews here claiming that customer support will send you a magic password to enable Google Play Services, your request will just be ignored.Without the Play Store, the device is just an expensive lamp. You can plug in a Chromecast via HDMI, but then what’s the point of being compact...",14/11/2019
L. Miller,5,Love Love Love,null,So far this product is AMAZING! Had our 1st movie nite and wow... extremely impressed! In an enclosed space this device is LOUD (I did a test run before movie nite) but outside on our patio not so much but it still was loud enough for everyone to enjoy. I will probably purchase a block rocket to give that true movie theater sound and annoy my neighbors a bit! If I invite them then they won’t be able to complain right??? Apps were a bit frustrating but once connected it was a breeze...have never used the remote... only the app but certain apps like Netflix don’t really work with the remote anyways so it’s kinda useless.... do not hesitate! GET IT....!,15/03/2020
Josh,4,"Great projector for inside use, not so great outside.",null,"If you’re going to use this model in a dark room inside your house this is a great item. The sound is surprisingly great for 1 single speaker. However if you’re thinking of bringing it outside (even with the use of a screen) it is going to be very hard to see the picture. That is unless you live out in the boonies. I live about an hour away from any major metropolitan area/airport and it isn’t dark enough but maybe it is pitch black outside where you live it may work. Also it is not HD if you care but has a good pic quality when you focus it manually. If you have YouTube, Netflix etc you can stream direct.",14/06/2020
syds mom,5,"Movie Night, whole new level!",null,"This little projector was a great gift for my teenage daughter.  She has all of the typical teen tech so I did not think that there was anything left out there on the market to wow her for her 18th birthday but this did it!  She hung a sheet in her room and will lay in bed and watch her favorite movies.  She did some mild complaining during initial set up  (she is competent but not overly tech savvy) Now that she has figured out how to do it, it only takes her a minute or so to get it started.  We haven't tried it outside yet but I am looking forward to watching Hamilton one of these nights!  I am happy with this purchase.",11/07/2020
Amy C,4,"For an Anker product, I feel it lacks its' usual user friendliness and high performance.",,"I haven't had a chance to try out all it's extras but I like it so far (not in love with it though). I downloaded the phone app to use a mouse and controller but the bluetooth connection is very spotty. When it works, it's pretty handy vs the controller it comes with. The picture is a bit blurry even with the ability to adjust the clarity. I've only tried it on walls and doors not a projector screen. I do like Anker products so I am kinda disappointed with this products lack of user friendly controls and high performance but I will have to play with it a bit more to find all the little goodies it might hold. Also, I might be rating it a bit higher because I was able to buy this for a bit cheaper than it's current listed price. I brought this to try & replace a TV but I might still buy a TV in the end. Oh wells! If I find something else to report, I will update the review. Overall, I'm 50-50 about recommending it. I did read several other reviews saying there are better comparable products but being an Anke...",13/06/2018
Red Andersen,5,"Light, compact projector with a brilliant and clear picture.",null,"I purchased this projector in response to a discount ad. It arrived the next day, and it works beautifully. It is light, compact, and relatively simple to use. The projected picture is bright and clear. In addition to the enclosed remote control, you also have to download an app to your smartphone to access some of the features and turn your phone's screen into a mouse pad. I'll be using this primarily for outdoor movies during the summer, but it will make a nice addition to vacation travel when you want to catch a movie. You can mirror and project the screen on your smartphone, and I was easily able to access my Netflix account. I still have not been able to access my Amazon Prime video account. It keeps asking me to input the same information over and over again. I will be calling the company's toll-free number for assistance. Overall, I am very satisfied with the performance of this compact unit which is the size of a soda can! It also works well with an attached DVD or Blu-ray player using the HDMI input.",20/05/2019
Amazon Customer,1,Awful device that does not work,,"This is a complete waste of money. If I could return it I would.The sound quality is awful, but I cannot get it to connect with bluetooth speakers to avoid using the speakers on the device. The picture quality is not great and it is hard to focus the image.Worst of all the apps that you download in the device barely work. They are impossible to navigate with the remote and I am unable to even scroll and search through movies in Netflix. Using airplay to stream movies then doesn't work because all of the apps protect their content and don't allow you to stream with airplay.This is really the worst projector I have ever used, it is literally a piece of crap.",19/06/2021
Mike,5,Wow!,,"I read every review and watched every unboxing and review videos. I looked at comparison videos. After sifting through all the good and bad, I took a chance and bought it. Wow! It's a stand alone device that fits in your pocket and needs nothing but a wireless internet connection to play endless hours of video. Unless you are planning to open a drive-in theater or are planning on comparing it to your 4k tv, give it a try. I used it outside playing it on my vinyl siding of my house at about 50"" diagonal before the sun went down. Yeah it wasn't bright enough with the sun going down behind me but just about dusk it was looking good. When the sun set it was awesome. As for the sound, plenty loud for playing outside, even at half volume. Indoors it is definitely more than loud enough. The picture quality is surprisingly good, especially after reading that it's not even 720p. So before you get swayed by the not so great aspects of the reviews, while they may state specs correctly, think of what your use will be ...",29/05/2018
charles edoigiawerie,1,The product picture quality is bad,19,The sound quality is good but The picture quality is very bad as the images projected images are not clear even within a 4 foot distanceI wanted to use it to teach some presentation slides my residents but I was really disappointed by the picture quality. In fact some of my residents were laughing wondering why I bought the productI wanted a replacement but I am afraid it will be the same thing. I do not think the product is defective I believe this is the best picture you can get,10/07/2018
John,5,Amazing.  Perfect if you have a baby in a crib like I do.,null,"This thing is epic.  I recommend it to everyone.  I just had a baby and I purchased this, along with a mini tripod, and it has saved my life.  I project cartoons onto the ceiling and the baby loves it.  It is bright enough to be useful.  The picture quality is also passable.  This isn't a 2400lumen Epson home theater but for what it is, and the price, it is great.  The speaker is more than loud enough for a living room although I would go with the Epson if you were looking for a home theater.  This is perfect for entertaining guests outside or doing a powerpoint presentation.  Heck, this would go perfectly in a bedroom if you are not looking to run cables, make holes, and go through a hassle.  There is a 300 lumen version, I am not sure about how it works but, if this is something you are looking to have permanently in a bright room, I would look into that.",25/12/2018
LBowden,3,Low quality item. Died after 22 months with very light usage.,,"It was great while it lasted but clearly not a quality item as it shouldn't have stopped working in less than 2 years. My original order said that the ""support window"" was only 6 months. Pretty awful for a $350 product. It wasn't used anything close to every day. On average less than once per week. Buyer beware. Couldn't even find a way to contact the company on my order page.",05/10/2020
Tracy,5,Great product and great customer service!,2,"Projector works great! We use it for outside movie nights with the kids. Built in software is nice, and their customers service was great!If you reach out to customer service, they can help you install a beta version of the OS that unlocks the full Android experience and gives access to the Google Play store. They can also help with installing Disney+ on the device.We're currently streaming Netflix, Amazon Prime, Hulu Live TV, and Disney+ with the built-in software.Built-in audio is good. We've also tried paring it with other Bluetooth speakers, and it works great that way as well.",25/06/2020
Yaritza Diaz,5,Very easy to use. (Muy fácil de usar).,,"The best thing that we ever had to watch movies,  cartoons etc.  The resolution is perfect and we can use it in our androids phones or in our IPad pro. It have a play store inside that you can download apps if you don't want to pair it with The devices,  also you can download The nebula control in your phone or tablet. ( El mejor proyector que hemos tenido para ver películas,  caricatura etc. Lo podemos utilizar con nuestros teléfonos androids o conectarlo a nuestra Ipad pro. Ya trae su tienda de aplicaciones en caso de que no quieras conectarlo a tus dispositivos,  e incluso puedes bajar El control remoto del Nebula en tu teléfono o tableta.",05/03/2019
Luis,1,Great video but very disappointing,,"At first this little projector impressed me so much. It has android built into so you can stream Netflix, Hulu, Amazon video, etc. Video looks great. The but is that it drops WiFi all the time. I can’t watch a full show without it having some sort of issue with the “network.” And now it asks me to download the amazon AppStore to be able to use the Hulu app which I shouldn’t need to but I tried and it doesn’t let me. So I can’t use the Hulu app. The only way to actually watch anything is to connect something with an hdmi cable which I was trying to avoid to not have a bunch of cables everywhere.",24/02/2019
Mr. Truth,5,Awesome. Simple to use.,,"Great projector. Works right out of the box. It only took two minutes to set up. Simple to use on your phone if you download the app. You do not even need the included remote.  You can project this on almost any surface and have a great picture.  It puts out amazing sound for such a small device. Don’t be fooled by reviews saying the software is too complicated.  There is nothing to it- I installed Netflix, Hulu, etc within minutes. You login to them with your regular user info and you are up and running in no time.",21/06/2020
Sphen,1,Doesn't really screen mirror.,,"I cant screen mirror anything....its so dumb, I can watch it on my phone becasue I have netflix, Amazon, nfl ect but the sevice has a built in block to prevent me from using it for what I want, which is to stream and project.....i can use a bunch of cables but it's not so portable and easy then. Sort of self defeating when it's the most useful purpose for such a device.... I dont get it, I pay for these services to watch them so I dont see what its protecting really, just disfunctional really.I also have to agree with some other people here as far as privacy that they are kind of being offensive to their customers with the violations. I dont know about anyone else, but when I pay a lot of money for a piece of tech I would want the company I'm buying it from to care about their customers and treat them with respect.",28/12/2019
Nicholas J. Hammerstad,5,works like a charm,null,"we have only been able to use this a couple times so far but it works perfectly. Yes, it does need to be pretty dark for it to work, but that fact that this tiny little canister works is amazing!  It has a fairly decent picture quality and was easy to use. We have about 15 people over and cast our phone screen to do some fun jokes on the wall. everyone could see. My daughter also used it at her sleepover to watch a movie. The sound was loud enough that we had to ask her to turn it down so it wouldn't wake up her brother.so let me recapPro's-works-good sound-good picture-tiny and convenientcon's-I'll let you know when i find one;)",25/07/2019
Lisa D.,5,Fantastic if you're not picky about the little nuances,,"I bought this primarily to watch in my dorm room at college because the space is too small for a TV, and it works great. Out of the box, it looks very high quality and is something I'm proud to show off. Of course, it's not a crazy HD projector, but it does the job, especially in the dark. The image can get pretty crisp when you adjust the focus knob and I don't see any blurriness at the edges like some other PICO projectors have. Compared to my full-size Epson projector back at home, the picture is not as sharp (of course), but it will do for standard, everyday viewing.Now to the cons, there was no HDMI cable included. It's not really a big deal since I have my own, but other projectors I've looked at included an HDMI cord. I feel like at this price point, there should be a cable thrown in there to justify the price. The fan noise is a definitely noticeable, but it's not to the point where I can't hear the sound or get annoyed by it. The remote only works when you point it a certain way, which can be a bi...",16/12/2019
WM5R,5,Works well for my intended use.,null,"I got this mainly to use for teaching small groups of volunteers how to use certain applications.  It works great.  I love that I can carry it in my purse along with my tablet and pull it out for impromptu training sessions.  The picture is plenty clear for my purposes.  It also works great for general movie viewing at home and playing my music via bluetooth while working around the house.  You do generally have to dim the lights to see the picture really well.  This is not an issue for me.Please note that This is NOT a professional projector that I would use for presentations in a meeting room or class setting.  If you are looking for a powerful projector that you can use in large groups with the lights on, invest in a professional one designed for that purpose.",10/01/2019
R. Caldwell,5,Great!,,This thing is really impressive so far. A lot of value packed into this tiny device. It is much smaller than I expected but works great. The app on my phone works great to control it. The built in Netflix and Prime Video apps are super. Works great with hdmi cable for laptop.  Battery powered and built in WiFi.  All make this thing really powerful and easy to use. The only caveat is that it requires low light conditions for the projected image but I think that is expected for any projector.,03/11/2019
Kimberly,5,Quality! Quality! Quality!,,Oh my awesomeness! My husband loves it. We purchased the model below this for our daughter at college instead of a TV (she didn't want a TV) and the only thing that bums him out about it not having the ability (the way you do with the model below it) to recharge it or use a portable battery with it - you do have to plug it in. But - it has four freaking hours of battery life either way! The picture is gorgeous and clear and believe me he did the research on the lower model so I was not hesitant to get him this model as a Christmas present - score one for mom!,13/01/2020
Louie G.,1,I got original version and not the Capsule II,8,I was expecting the Nebula Capsule II since I ordered it January 2019. What I got is the original version - still Micro-USBHad so much difficulty downloading the update as well as the apps. It says there was an error downloading. My WiFi is fast and consistent.,09/02/2019
Max Power,5,The best projector under $1000 !!,2,"You won’t be able to find a projector to provide clarity and convenience like this one. This is the third projector that we’ve had, and philosophica you won’t be able to find a projector that provides the clarity and convenience like this one. This is the third projector that we’ve had and by far the best bang for the $. So happy we get to enjoy a movie theater experience right behind our backyard.  🙂",08/05/2019
Kevin,1,"A complete mess filled with issues, not worth price.",null,"Product has a ton of issues. Many of the apps on the store have a lot of bugs & issues that are never addressed such as: VLC, NordVPN, Netflix, YouTube etc.For some reason, out of the box the remote did not work at all...? I instead had to use my phone as a remote. Which is inconvenient since I also wanted to use the device to mirror my phone.It freezes really bad sometimes whenever you plug in a storage device into it to play something. And instantly reboots and disconnects from phone.It mirrors phones fine and at the core of this device it gets the job done... but many of the features and apps are not optimized or ever looked at.The device is convenient, at the cost of it being extremely inconvenient in many other ways. Would recommend saving and looking for a product more high quality.",11/11/2020
Tomas,5,Almost not buying due to customer support,null,"I love this machine in all honesty. Replaced my TVs and opened up a world of space in my rooms. Never had to manually turn it on with the power button in 2 months of owning it. Until my remote failed. I changed the batteries, angled remote everywhere I could, and just gave up and started to power on from the device. I called tech/customer support and spoke to Kevin who laughed at me for wanting a remote control capable of turning my device on and off, ""the remote control was not designed to power on the device."" Okay, so me using it for 6 weeks with no issues was just a fluke and who's dumb idea was it to make a remote control without a functioning power button? Well I just got my replacement remote that I worked and waited way too much for, and it turns my device on (Wow! Big shock there).Great product and I have no complaints about it, just dont ever call the makers for anything. Kevin will answer and try to tell you that projector only projects when you're not looking or the charger only works when the ...",27/06/2019
K. Oliver,4,Gifted This. Seemed to be a good product from the reviews.,null,"I first got this in an open box, clearly someone had gotten and opened this projector and then returned it before me. I will say I exchanged it for a brand new one an it came quickly. But if I am going to spend this kind of money, I shouldn't have had to deal with this in the first place.I purchased this for a gift for someone. They were very ecstatic for the gift. They said it was a perfect present.I would buy this again.",16/01/2021
Rey Buzon,5,This is the one! PICO projector for movies/show in full effect!,null,"Let me start by saying THIS IS THE ONE for movies and shows!*It is a pico projector at 100 lumens but for the price and performance it beats others in the same price range ($300-$450) hands down.Seriously don’t waste any more time researching.  Take the leap and you won’t regret it.The tech specs don’t do it justice. I own many full size and pico projectors so I’m not just saying it blindly. This out performs my M300A (300 lumens) at $399 (but I need that for work).The Nebula Capsule has fuller sound and way better looking.Build quality is solid and has a fast operating system.Remote is nicer as well.Again, if you compare the specs side by side the Nebula Capsule doesn’t seem like the choice. As a person who has physically compared it with others let me save you time.If you want to be happy with what you’re buying and enjoy using it for movies/shows. THIS IS THE ONE!",22/12/2018
MaryMary,5,A MUST HAVE IF YOU ARE LOOKING FOR A PORTABLE PROJECTOR,null,"Let me start off by saying I rarely submit reviews unless a product has either really disappointed me or has won me over and this product has certainly managed to do the latter.  I was apprehensive about purchasing something this expensive but was lucky enough to have spotted this item as a ""Deal of the day"" on Amazon for about $100.00 off.  Since my family and I have been spending a lot more time outside at night, because of the nice weather, I figured why not give this a try.  I was impressed by the good reviews after purchasing it and couldn't wait for it to come in so I could try it out.  Well it's been roughly a month since I've had it and I've been using it on a nightly basis.  I can tell you it has definitely lived up to it's positive reviews.  It's very convenient to have something this compact to be able to set up quickly and I love the picture quality and the option to bluetooth the sound system to enhance the sound, although the built in speakers are more than adequate if you want to go that rou...",10/06/2018
NerdNostalgic,4,You get what you pay for.,null,"You get a small projector that produces a big screen. You loose a long battery life, maybe 2.5 hours max.  Big picture that projects to any screen or wall, I don’t use a screen, still works fine.  The remote is light weight, non-responsive from a distance, seems cheap...but so is the projector.  This is great for people who want a projector in their life but are not looking to put the money into getting the best of the best.  Good solid machine here. Get it on sale, pay less then 300 and you come away a winner.",06/01/2021
Amazon Customer,5,Awesome,null,Great picture quality not the brightest but it's perfect in a dark room plays all the apps I wanted and the sound is good too so you don't need to hook up a speakerYou can even see the action in the night king battle if you watched got you'll know what that means lolThe improvements that would make it 5 stars would be usb c for charging Google play store and just brighter most of which I think they did in the newer version but it's also twice the priceI tried out a few other portable projectors in this price range and this one crushes them all easily it's the only one with a functional remote setup a clear bright picture and an up to date operating system,21/06/2019
Sam F,3,"Well manufactured, disappointing audio",null,"The Capsule is an impressive product straight out of the box, in fact the packaging is very impressive.  The product is clearly well manufactured and made from quality materials.  The size and the portability make it a compelling product, and quick to set up.  The image is quality is good for a projector its size.  It is a impressively designed product.I would be willing to live with the image quality if the sound worked.  I got rid of my TV and planned to use Capsule to project from my Apple TV.  Unfortunately, there was a noticeable lag between the image and the sound, could be bearable if it were not my primary viewing device.  Then Airplay does not work for popular apps like Netflix, Amazon Prime, and HBO GO because of an issue with streaming copyright content.  The native apps within the Capsule work well but also have limited functionality; Amazon Prime only worked view browser.  This product could benefit from an audio out port.I think that Anker is on to something, and would be interested in Capsul...",23/12/2018
Victoria S.,5,Absolutely pleased in every way,null,This was a Christmas gift for my father and i originally purchased a completely different mobile projector and it does not even compare to this product. The quality and durability alone is phenomenal. The sound quality is perfect especially with the 360 degree sound projection with the design of the product amplified sound in all directions. I am very pleased with how the projector automatically adjusts its display and is able to match the size of the wall it’s projecting on. I held the projector towards the ceiling and then faced my living room wall and it automatically fit the different sizes of each surface it was projecting on. Absolutely retuning the other projector and keeping this one for sure!,22/12/2019
Kaustav,1,Dont Buy This Product,20,Do not buy this. You will not get what is showcased in the ad. In my case 3 items were missing and the remote is not working with a dead battery and lid broken. Projector doesnt charge fully.,01/06/2018
ben,5,GREAT CUSTOMER SERVICE,,"I love this projector - we bought it to stream football games and sporting events with our friends in our back yard.  I must say, the customer service is FANTASTIC! I had a question about streaming, so I sent an email to the support email figuring it would be 3 days before I heard from someone, if I heard from someone - it was so quick, they were so helpful, there was no nonsense, just really understanding, helpful people.  We aren't really tech savvy so to have them answer so quickly made the device worth the investment to us!  I use it as a bluetooth speaker in my office and then for movies at night.  Totally worth it.",04/11/2019
Melanie,5,Tiny powerhouse,null,"My husband first showed me a video of someone reviewing this projector and I had my initial doubts at first just because it's so small that I wouldn't have imagined it having the capabilities that it does. It's definitely surprising how great this little guy can be. I think the only '""gripe""I have with it is the IR remote as you need to be pointing a certain direction for it to work correctly, but this is easily combatted with the app that you can use to control it. The picture quality is great. I think we currently have it around 80ish inches and it still looks really good. We initially just had it projecting on our wall and even that worked out well for us. With the screen we got- it just looks even better.I just love that we can pop this in our car and take it wherever we go, though we have yet to really do that. But, it is a comfort since we move around often and don't have to worry about our TV being broken anymore since we can just carry this with us. Great value!",25/01/2019
Bill Cross,5,"Small, compact.",,"This is a nice projector.  I did some research before purchasing it.  I'm very glad I went with it.  Speaker is good. I do run my sound bar through bluetooth.  It's small yet very powerful.  Easy to operate.  User friendly.It was very fast shipping. Well packed.  Customer service is totally awesome. We enjoy family movie nights with our projector.  Over 100 inches of picture,  very clear.  Projector can be mounted several ways.  Picture can be adjusted for fine tune.  I'd definitely recommend this Nebula capsule projector.",31/01/2019
Kristina,4,Much better as soon as you can install apps from Play,null,"Updated:The situation changes dramatically as soon as get update to the beta version of firmware and now can install near-arbitrary app from Google Play. Such as VLC Player or Google Keyboard.Previously:Being 'portable' doesn't make it _mobile_, you can't project from a phone (latest Android), neither Bluetooth nor Chromecast, until your phone supports Miracast (mine doesn't). You can't login to YouTube to watch paid movies. Installing language other than English is prohibitively complex. But the worse it doesn't support modern video formats from USB, neither HDrip no BDrip. Nor you can choose sound channel, if file contains multiple.",16/02/2019
Amazon Customer,5,#Yep,null,"We were stoked to get this and upon unboxing got very discouraged it wasn’t going to do what we wanted it to do. It wasn’t until we went through 2 updates of the software that all of a sudden it clicked! We got Disney+, Netflix and Amazon connected with relative ease. We put on Moana in the backyard for the kids and neighborhood kids and they were all entranced. Our kids asked the next morning if they could “watch a movie on the wall” 😂 The brightness at night/dusk, was great but you wouldn’t be able to see it during the day. The in app remote was much easier to use than the physical one provided. Overall, we’re very happy with this purchase and can’t wait to use it while camping! We will end up getting the recommended Apple cable to connect our phones to it though so we can watch movies and shows offline",05/06/2021
D DEATLEY,5,Incredible....,null,"Decided to try this thing instead of the top of line one just to see if they even use it at all and wow.... It lights up a 100 inch screen at night just fine with little to no loss in clarity. Their friends houses have different cheap-o ones and there is no comparison to this one that is literally half to a quarter the size. The speaker could be better but who uses the built in one anyways, and this speaker is still better than the cheap-o ones that are larger.",10/08/2020
Nate G,5,Great Customer Service !!!!,null,"I purchased this item a few years ago and I am very pleased.  There was an issue with the MLB AtBat app not working. I contacted Anker Support and was connected with Sharon. Sharon worked with me to update my Nebula. Further, Sharon found a way for me to get the MLB app to work !!!!  She really put effort in and had to do research for this to happen. Can’t say enough about Sharon and Anker customer support. I have always purchased their lightening cables and battery packs but they have secured me as buying exclusive from them. Thanks Sharon!  And Anker.",02/03/2020
Matt,3,Apple compatibility lacking,null,"Bought and read the reviews dating is android based but really hoped for more.Can access some apps directly from the device but is seem to have to enter my log in details every time. Cannot stream from certain apps even when connected directly.Focus isn’t great like really wanted to like this, but don’t. Almost returned - just didn’t due to covid and restrictions",05/06/2021
Kingofken,5,Anker incredible experience....,,"The anker nebula flaw is the manual remote.I recently had difficulties in syncing my nebula capsule with my iPhone app and it was so frustrating I called Anker support.The customer rep Kayla was outstanding in sizing up the problem and fix, makes me want to continue purchasing more anker products. Interesting enough, if I need an electronic component I alway check on the Anker website if this product exists before I purchase. The comfortable feeling  with Anker products is that someone cares and prepared to act on solving any issue regarding Anker.Thank you Kayla for your assistance, you were terrific!CheersM",10/12/2019
NPR,4,So far it's meeting expectations,null,"Just got this and overall it matches the reviews and online comments elsewhere. The daytime brightness is impressive, or my expectation was low. It seems operating on Android system. You won't need iphone if you want to watch Youtube or Amazon (if you trust your pw with them).Iphone mirroring works, though the image is limited to a portrait view, rather than landscape. Battery seems just ok. Watching 80 minutes of Youtube seems to consume 40%.The 4-star is due to the high price.",30/03/2020
HKK,5,Great small portable projector,,"I had this projector since early this year. I've been using it for our vacations overseas, camping, in my garage while I was working on something. Occasionally we would have a movie night in our kids bedrooms. I sometimes use it while I am in my bed... I project it to my ceiling and lay down and watch all night... LOLOkay, if you are to complain that picture quality is poor I would say don't get this. Compared to the size of this projector picture quality is acceptable to my standards and actually it's pretty good. Sound quality is not bad either. I had no problem hearing the sound and if I needed more volume I would use an external speaker but with it's 360 degree speaker it was good enough most occasions.I stream Netflix, Amazon Prime Video through it's apps or use screen mirror on my iphone. I also stream movies using my DNLA capable NAS in my home network using VLC Player app. I know you can use Chromecast to stream but I don't bother since with the Netflix, Amazon Prime app and streaming from my home ...",06/11/2018
Luis A. Sanchez,5,"Get it, you'll love it!",null,"Extremely easy to use! Love all the features. You ca  download Netflix, Hulu, Amazon Prime etc on it so you can easily watch your favorite shows and movies. You can also connect devices via HDMI and love that I can also connect them to my bluetooth speakers to make it louder.I set it up in my backyard. It looks great in the dark and still not bad when I turn on my pergola lights. Extremely happy with it as its portable so dont have to mount it as I can easily set it up, store it away and travel with it. Go get one!Only issue is that Disney+ wont play from its app.",25/06/2020
TB,5,"Love it, easy to use.",null,"Easy to use, great picture and sound quality. So far very pleased. I am concerned about the the USB cord, it uses the micro USB port and that always starts to break down after you plug and unplug over a short period of time. I have a Bluetooth speaker I bought that is no longer useful and out of warranty because the micro USB port will no longer hold the plug in. I don't know what to expect here, but if the port wears out, the Nebula will be usless",10/07/2020
Erica Mckimpson,5,Love this projector!,,"We use this projector instead of a TV and would not go back! It’s mobile, can connect to a Bluetooth speaker, and works perfect for streaming apps like Hulu/Netflix. The sound is perfect for any room and if you want louder can easily connects to a speaker. We've only had to use a speaker when projecting outside because even with kiddos in the house, we can hear it perfect! We’ve projected it on multiple colored (grey, cream, lavender) walls in our home and even on the side of our house, the color and brightness work well! To top it off, it’s really nice to have the remote on your phone. You can even use your phones keyboard to search and sign in for the apps. This is a great user experience feature compared to trying to type out a password on a SmartTv with a remote! My only complaint is that we don’t have more than one in our house. We honestly couldn’t imagine not having it in our home. Their customer service is great to work with, if you do face any issues. We highly recommend it to all of our friends.",16/10/2019
Marissa K. Account,5,"Great quality, Netflix and other apps compatible.",,"We have tried other projectors and this one is amazing. For the price it’s so worth it. Don’t bother buying a cheaper one, the 60 dollar one I had bought then returned after trying this one.Also if you are looking for a projector to stream Netflix or Disney+ or any other apps. This one does that. We had a hard time with other projectors because these apps would not let us stream them from our phones to the projectors.",23/01/2021
Jimmy L,5,Great for the Nintendo Switch!,,null,15/07/2018
Isooda,1,Garbage.,null,"I will be returning this tomorrow. It’s bad enough that it is too dim to watch outside at dusk, and that it is not HD quality. But what really seals the deal is having to ditch the remote that comes with it for a phone app in order to use Netflix or Amazon Prime. If that was not bad enough it does not actually give you access to the google play store. Major streaming services such as HBO Max are not available without emailing support and having to enter a unique password in order to get some of test build on the capsule. I’m sorry but if your product doesn’t let you use the full functionality out of the box. It’s garbage.",22/06/2021
Amazon Customer,2,"Great size, terrible software and connection ports lacking",null,"This seems like the perfect projector size and price, but the software bus terrible. You end up having to plug a laptop or dongle as the software is no good. It has no usb so even an amazon stick requires an additional power source cable. The lure of it's size is what got me untill I came across all these issues. Returned and got the Mars Rover Pro 2. A bit more $ but so much better.",12/01/2021
Will,5,Great functionalities and quality for the price,,"Very glad about the purchase. Good price for the quality you get. Great image quality in dark environment. Small size, so is very convenient to move around. Auto adjust to project square image to a wall or ceiling even if it is placed at an angle. Good battery duration at least when it’s new. Phone app control and screen mirroring both work well.Only two minor complaints. If you control it with the remote, remote has to point at the backside of the capsule. If you screen mirror YouTube from iphone to capsule, your phone has to stay in YouTube app and cannot do other things.",09/06/2018
DiazGuam,5,"So good, daughter gave up her TV to use just the projector",,"It was a Christmas gift to my daughter which she was happy about but only started using in January.  Thought she didn't like it but once she started using it she couldn't stop.  First we were seeing movies on the ceiling! next the hallway, and last night my white sheets went up on her bedroom wall for a gigantic movie screen.  Pretty impressed with the picture quality too.  It is officially now the coolest gadget in the house... sorry Alexa :(It is so small but what it produces is huge!",17/01/2019
Amazon Customer,5,So fun and easy to use!,,"This projector is the best, completely worth the money! We bought a different one here on Amazon that was cheaper and ended up returning it, just start with a good quality one like this. The picture quality is great and it’s so simple to use. There is an app that allows you to use your phone like a mouse on the screen and it easily connects to Bluetooth headphones.",09/11/2020
Nate D.,4,Nice Product,2,"I like it, and that's for sure, but the inability to stream directly to it, difficulty getting Prime and Hulu set up and the battery life leave it with some left to be desired...",09/11/2020
Babymonkey,5,Great picture quality and sound... I watch more nebula than TV,,"I love it! bright, neat, I do power point presentations, watch netflix, amazon prime. The sound is great!!!! The battery lasts more than expected and is a must that it can be charged in use. I dont like that I have to use my phone to control netflix, because my daughter loves to see the movies in the big wall, but is imposible when Im not at home with my cellphone. Also: in the presentations with usb, I cant charge the unit at the same time because it uses the same port.",14/11/2019
Mike,5,Fantastic Little Device - Seriously My Favorite New Toy,,"I was a little concerned about the standard definition, but honestly the image and color quality are very good. I think so far we’ve gotten it up to about a 7foot image and it’s great. The image brightness is better than I was expecting (although we’ve only used it at night). For the size and the cost I could not be happier. I’m often disappointed with my tech toys, but this projector is amazing! Definitely recommend a tripod makes set up super flexible.",29/01/2021
Amazon customer,5,a really wonderful mini projector,,"This is the 3rd one I bought this month. I can't be happier with it.The material is so good, just like an Apple product. It's perfect, very stylish.Picture is clear, color is correct (same as on my iPhone). Noise is low. I have watched a 2 hour movie, still has battery.Very convenient to use.The only thing I'm not happy is there is a small piece of plastic to insulate the battery, geez, it took me 10 minutes to take it out. It's actually got stuck to the battery.",10/12/2018
Santi,1,Save your money. DO NOT BUY THIS JUNK,null,"I like the item itself but the one huge problem for me is the same that many users complained about and it's the fan noise.  It ruins everything for me because it's so damned loud.  I don't listen to movies loud because I have roommates but at regular sound that fan noise drives me crazy.New Update after having it for some time now.  I've lowered my rating to 1 star and I wish I could give it zero. All it's good for anymore is Netflix.  It doesnt work with my HULU or YOUTUBE, it doesnt do direct connect with mirror image.  It's a freaking black soda can!!!!! DO NOT BUY THIS GARBAGE ITS WORTHLESS",16/12/2018
